                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96676,                 3.4754,                 1.4393,                0.41289,                0.48844,                0.43006,                 0.3119,                0.95789,                 2.1718,                 1.5879,             0.00013215,             0.00013215,             0.00013215
                      2,                0.88023,                 1.9291,                  1.352,                0.46081,                0.42407,                0.39956,                 0.2822,                 1.1717,                 2.2823,                 1.7058,             0.00026023,             0.00026023,             0.00026023
                      3,                0.90071,                 1.6252,                 1.3332,                0.51148,                0.45737,                0.48479,                 0.3438,                 1.0809,                 1.9348,                  1.664,             0.00038303,             0.00038303,             0.00038303
                      4,                0.89321,                 1.5399,                  1.332,                 0.5784,                0.50019,                0.54474,                0.39531,                 1.0892,                 1.9799,                 1.7431,             0.00037624,             0.00037624,             0.00037624
                      5,                0.87068,                 1.4102,                 1.3202,                0.54294,                0.61089,                0.61894,                0.45638,                0.99428,                 1.5967,                 1.5734,             0.00037624,             0.00037624,             0.00037624
                      6,                0.83226,                 1.3165,                 1.2832,                0.64271,                0.55804,                0.61974,                0.45839,                0.98765,                 1.6027,                 1.5854,             0.00036832,             0.00036832,             0.00036832
                      7,                0.81296,                 1.2407,                 1.2778,                0.62666,                0.63118,                0.65929,                0.48814,                0.99432,                 1.4231,                 1.5653,              0.0003604,              0.0003604,              0.0003604
                      8,                0.81261,                 1.1998,                 1.2812,                0.57889,                0.58803,                0.59806,                0.43662,                0.97031,                 1.7283,                 1.5851,             0.00035248,             0.00035248,             0.00035248
                      9,                0.77236,                 1.1017,                 1.2483,                 0.5676,                0.66114,                0.64722,                0.48028,                0.93916,                 1.4754,                 1.5204,             0.00034456,             0.00034456,             0.00034456
                     10,                0.78536,                 1.0897,                  1.262,                0.62491,                0.66482,                0.68366,                 0.4932,                  0.983,                 1.4962,                 1.5831,             0.00033664,             0.00033664,             0.00033664
                     11,                 0.7773,                 1.0619,                 1.2644,                0.65855,                0.63057,                0.67645,                 0.5095,                0.92133,                 1.5094,                 1.5624,             0.00032872,             0.00032872,             0.00032872
                     12,                0.75175,                0.97189,                 1.2336,                0.68966,                0.67377,                0.70137,                0.53806,                0.88166,                 1.3485,                 1.4833,              0.0003208,              0.0003208,              0.0003208
                     13,                0.75308,                0.98794,                 1.2398,                0.68046,                0.68806,                0.71811,                0.54346,                0.86978,                 1.3335,                 1.4803,             0.00031288,             0.00031288,             0.00031288
                     14,                0.72566,                0.95316,                  1.217,                 0.6543,                0.68846,                0.67956,                0.52299,                0.89023,                 1.4238,                 1.4863,             0.00030496,             0.00030496,             0.00030496
                     15,                 0.7227,                0.91092,                  1.213,                0.72095,                0.63779,                0.69732,                0.55301,                0.86014,                 1.3179,                 1.4544,             0.00029704,             0.00029704,             0.00029704
                     16,                0.71513,                0.88184,                  1.206,                0.67429,                0.66063,                0.69507,                0.53995,                0.86012,                 1.2763,                 1.4718,             0.00028912,             0.00028912,             0.00028912
                     17,                0.71091,                0.85978,                 1.1993,                0.72691,                0.67027,                0.70698,                0.56124,                0.84091,                 1.2647,                 1.4384,              0.0002812,              0.0002812,              0.0002812
                     18,                0.69362,                0.81616,                  1.185,                 0.7656,                0.66678,                0.73525,                0.57559,                0.84289,                 1.2556,                 1.4571,             0.00027328,             0.00027328,             0.00027328
                     19,                 0.6866,                0.81622,                 1.1868,                 0.7564,                0.67209,                0.73952,                0.57541,                0.85892,                 1.2695,                 1.4372,             0.00026536,             0.00026536,             0.00026536
                     20,                0.69212,                 0.7927,                 1.1839,                0.75833,                0.69111,                0.74594,                0.58277,                0.84377,                 1.1667,                 1.4498,             0.00025744,             0.00025744,             0.00025744
                     21,                0.68213,                0.77737,                 1.1818,                0.75161,                0.70754,                 0.7483,                0.60299,                0.80982,                 1.1427,                 1.4088,             0.00024952,             0.00024952,             0.00024952
                     22,                0.65146,                0.71732,                 1.1574,                0.72626,                 0.6633,                0.72836,                 0.5818,                0.80824,                 1.2247,                 1.4169,              0.0002416,              0.0002416,              0.0002416
                     23,                0.64513,                0.73018,                 1.1631,                0.69904,                0.72824,                0.74172,                 0.5897,                0.82101,                 1.1357,                 1.4298,             0.00023368,             0.00023368,             0.00023368
                     24,                0.65393,                0.70734,                 1.1645,                0.71996,                0.68401,                0.72313,                0.58169,                 0.8258,                 1.2226,                 1.4401,             0.00022576,             0.00022576,             0.00022576
                     25,                0.63245,                0.69801,                 1.1526,                0.73691,                0.68523,                0.74859,                0.60398,                0.80758,                 1.2308,                  1.415,             0.00021784,             0.00021784,             0.00021784
                     26,                0.62802,                0.64982,                 1.1429,                0.76591,                0.70581,                0.76345,                0.60387,                0.83127,                 1.1032,                 1.4343,             0.00020992,             0.00020992,             0.00020992
                     27,                0.62534,                0.66441,                 1.1423,                0.72214,                 0.7332,                0.75732,                0.60948,                0.81052,                 1.1314,                 1.4344,               0.000202,               0.000202,               0.000202
                     28,                0.61299,                0.64965,                 1.1372,                0.74295,                0.69619,                0.74944,                0.59946,                 0.8486,                 1.1428,                  1.466,             0.00019408,             0.00019408,             0.00019408
                     29,                0.61985,                0.64639,                 1.1471,                0.81029,                0.69665,                0.77658,                0.61993,                0.80994,                 1.0456,                 1.4273,             0.00018616,             0.00018616,             0.00018616
                     30,                0.59082,                0.62133,                 1.1211,                0.74321,                0.73083,                0.76858,                0.62068,                0.78872,                 1.1106,                 1.3971,             0.00017824,             0.00017824,             0.00017824
                     31,                0.58837,                0.59743,                 1.1184,                0.70612,                0.73879,                0.75812,                 0.5923,                0.83771,                  1.148,                  1.474,             0.00017032,             0.00017032,             0.00017032
                     32,                0.60091,                0.60467,                 1.1334,                0.72623,                0.73749,                0.75563,                0.60214,                0.79022,                 1.1467,                 1.3881,              0.0001624,              0.0001624,              0.0001624
                     33,                0.57078,                0.56172,                 1.1047,                0.72919,                0.73437,                0.76978,                0.62425,                0.77886,                 1.0571,                 1.3893,             0.00015448,             0.00015448,             0.00015448
                     34,                0.57199,                0.56283,                 1.1079,                0.78343,                 0.6833,                0.76293,                 0.6047,                0.79711,                 1.1058,                 1.4125,             0.00014656,             0.00014656,             0.00014656
                     35,                0.56349,                0.55983,                 1.1034,                0.72757,                 0.7462,                0.76368,                0.61263,                0.82129,                 1.1192,                 1.4484,             0.00013864,             0.00013864,             0.00013864
                     36,                0.56784,                0.55208,                 1.1055,                0.72521,                0.74012,                0.75645,                0.60404,                0.81273,                 1.1227,                   1.42,             0.00013072,             0.00013072,             0.00013072
                     37,                0.54711,                0.52262,                 1.0962,                0.73486,                0.75367,                0.77848,                0.63354,                0.78964,                 1.0483,                 1.4088,              0.0001228,              0.0001228,              0.0001228
                     38,                0.54162,                0.50633,                  1.084,                0.71381,                0.74645,                0.75259,                0.60329,                0.81436,                 1.1226,                 1.4477,             0.00011488,             0.00011488,             0.00011488
                     39,                0.54773,                0.51263,                 1.0824,                0.76454,                0.71343,                0.77673,                0.63384,                 0.7926,                 1.0817,                  1.406,             0.00010696,             0.00010696,             0.00010696
                     40,                0.53086,                0.49275,                  1.081,                0.75858,                0.72905,                0.77309,                0.63212,                0.79415,                 1.0917,                 1.4184,              9.904e-05,              9.904e-05,              9.904e-05
                     41,                0.42931,                0.39099,                 1.0245,                0.77326,                0.73146,                0.77654,                 0.6324,                 0.7923,                0.97461,                 1.4309,              9.112e-05,              9.112e-05,              9.112e-05
